,cloud_perc,MAE,MSE
0,0.0018899148557074425,3.432918653908074,19.2660073553087
1,0.7019490326946294,1.038756385277398,1.7683382349435322
2,0.9999995436090665,287.5694734569758,82701.24801009659
3,1.0,287.5693422128753,82701.21026599681
4,0.0056816107313938545,1.1631270165609018,3.4229065001874313
5,0.2834704940218873,0.9157718800648298,1.4560101752766537
6,0.10513604100946372,0.9596409559074623,1.6366731925705984
7,0.22087967222611676,0.9379495368517767,1.5186220092002884
8,0.19055781925458581,0.9511140263899933,1.5769264391711293
9,0.23959915488569536,0.9466847570731955,1.5664226393051253
10,0.9999309328387272,70.33087889621227,19913.031059548222
11,0.2518494481929353,0.9455906426213466,1.5566549983841593
12,0.3081667202165362,0.959913937372018,1.5684560364046374
13,0.12481014137165557,0.977298254787815,1.7399450400772292
14,0.33833796418000545,0.9180888407873917,1.4748408386507021
15,0.8615615689624956,0.9651589096346962,1.4922602723882645
16,0.17137890305526346,1.0046017538860585,1.757770674826258
17,0.00040299319429839935,6.9423485277463195,57.64555610607776
18,0.0011885941211979593,5.515327519038782,35.76497504159734
19,0.08753836726447793,0.9849257147425259,1.960820804738129
20,0.9813874649491763,0.9856891200480672,1.616422098643831
21,0.9999890466175955,287.5724921043504,82702.11613390048
22,0.00015623782957510613,6.692646208617332,67.11251673563778
23,0.9402492989835262,1.044865976372337,1.7839822397740526
24,0.4591130011780971,0.9313806851336346,1.4693001044105938
25,0.009702262725396269,1.4264020752320623,4.00528142443866
26,0.20675315579117498,0.9454136446481484,1.5243373510819667
27,0.3197634617069751,0.9261261807741072,1.50339858366577
28,0.14014122561046852,0.9123218883794041,1.4650782627291596
29,0.32607945583596215,0.9483774077153262,1.5604754919936439
30,0.31645417104801965,0.9550348964883335,1.5888677846618902
31,0.33125462476145967,1.0039910399368066,1.648296279116761
32,0.3708355848619387,0.9514190697640074,1.5650195190550775
33,0.0010691718269268218,1.554862858832527,5.0183445903884465
34,0.5393422676422479,1.0021786805781796,1.6801368868053588
35,0.002825059878490478,1.239388546715132,3.565665808427571
36,0.25409200110994273,0.9417352801357421,1.5133663049192145
37,0.00200355619815399,4.1032474966780565,22.872316343963554
38,0.8251252945242824,0.9663140606430245,1.6360791665483612
39,0.640060900806169,0.9476731030679862,1.5351397088883185
